"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 2:58:29 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lover yoyo","Sí","Ambas opciones","4","4","2","4","4","4","4","4","3","1","4","4","4","1","3","3","4","2","4","4","4","3","1","4","1","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:04:47 p. m. EET","Sí","Mujer","18-24","Lérida (Lleida)","Fp","Alto / Medio-alto","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","3","1","4","4","1","2","1","2","4","3","1","3","1","3","2","1","4","1","3","3","4","1","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:08:28 p. m. EET","Sí","Mujer","18-24","Alicante","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","No","Regalo","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","3","4","4","1","4","1","1","3","2","4","3","4","4","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 3:08:51 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","4","4","1","1","2","4","4","3","4","4","2","2","De 26 a 30€","De 16 a 20€"
"2021/03/14 3:11:23 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","4","3","2","1","1","3","3","3","3","4","1","1","De 31 a 35€","De 16 a 20€"
"2021/03/14 3:12:29 p. m. EET","Sí","Mujer","18-24","Granada","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","3","3","4","3","3","1","1","2","3","4","2","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 3:13:10 p. m. EET","Sí","Mujer","18-24","León","Grado universitario","Medio","Con pareja","Solo/a","Satisyer;Lelo","Sí","Uso personal","4","3","4","3","4","4","2","3","3","2","2","3","3","1","2","3","4","3","4","4","3","1","1","2","2","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:14:15 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","3","4","3","4","3","4","3","3","4","2","1","3","4","1","3","3","3","3","3","4","3","3","3","2","3","Entre 36 y 40€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:15:13 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Alto / Medio-alto","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Uso personal","4","4","3","4","3","4","4","2","4","1","1","3","3","1","2","4","4","4","4","4","4","4","4","4","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:15:44 p. m. EET","Sí","Mujer","18-24","Valencia","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","3","1","1","1","4","3","4","4","3","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 3:19:15 p. m. EET","Sí","Mujer","25-30","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","4","4","2","4","3","4","3","4","4","2","4","3","4","1","2","3","4","4","4","4","2","4","1","3","3","Entre 21 y 25€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:19:28 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","3","4","3","1","1","1","4","3","4","3","4","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 3:20:03 p. m. EET","Sí","Mujer","39 o más","Zaragoza","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","3","4","2","2","2","2","3","3","3","3","3","2","3","1","2","2","2","3","2","3","4","2","2","2","2","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:20:35 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer;Lelo;Mambo","Sí","Uso personal","4","4","3","4","4","4","3","4","4","2","1","4","4","1","1","4","4","4","4","4","4","4","2","4","4","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:21:53 p. m. EET","Sí","Mujer","18-24","Alicante","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","3","3","3","1","1","2","4","2","4","3","3","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 3:23:01 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","4","3","4","2","3","3","2","1","4","3","1","2","3","4","3","2","4","2","3","4","4","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:23:25 p. m. EET","Sí","Mujer","18-24","Madrid","Grado superior","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","1","De 16 a 20€","Menos de 15€"
"2021/03/14 3:23:37 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","3","3","4","4","2","3","3","3","4","4","1","3","2","4","4","4","4","4","4","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:24:31 p. m. EET","Sí","Mujer","18-24","Málaga","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","3","4","3","3","4","2","4","3","3","2","3","3","1","2","3","4","3","3","4","4","3","2","4","2","Entre 21 y 25€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:24:45 p. m. EET","Sí","Mujer","18-24","León","Grado universitario","Alto / Medio-alto","Con pareja","Solo/a","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","4","1","1","1","1","4","3","2","2","4","2","1","De 31 a 35€","Más de 36€"
"2021/03/14 3:25:10 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Familia","Ninguno","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","3","4","4","4","3","4","2","2","4","3","4","4","2","1","De 16 a 20€","Menos de 15€"
"2021/03/14 3:25:42 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lover yoyo","Sí","Uso personal","4","4","3","3","4","4","2","4","4","3","3","3","3","1","3","4","4","4","4","4","4","4","4","2","3","Entre 21 y 25€","De 26 a 30€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:26:27 p. m. EET","Sí","Mujer","18-24","La Coruña","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","4","2","4","1","1","3","4","1","1","2","4","2","4","4","4","4","4","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:27:22 p. m. EET","Sí","Mujer","25-30","Fuera de España","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","Sí","Uso personal","4","3","3","3","4","4","2","2","4","2","2","3","3","1","1","4","4","4","4","4","3","4","3","4","3","Más de 41€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:27:29 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","3","4","2","4","2","1","1","4","4","4","4","3","2","3","De 21 a 25€","De 16 a 20€"
"2021/03/14 3:30:19 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","1","1","4","4","4","4","3","1","2","De 26 a 30€","Menos de 15€"
"2021/03/14 3:32:08 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","3","2","4","4","2","3","4","3","1","3","2","1","1","3","4","4","4","4","1","4","1","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:32:25 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","2","2","4","4","3","1","1","3","3","3","2","3","3","1","De 21 a 25€","Menos de 15€"
"2021/03/14 3:33:40 p. m. EET","Sí","Mujer","18-24","Las Palmas","Grado universitario","Medio","Soltero/a","Residencia","No uso ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","2","2","3","2","4","2","2","2","1","2","2","3","2","4","3","2","De 16 a 20€","De 16 a 20€"
"2021/03/14 3:33:49 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","4","2","3","1","3","3","4","4","3","2","3","De 26 a 30€","Menos de 15€"
"2021/03/14 3:33:51 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lover yoyo;Lelo;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","3","4","1","4","4","4","4","3","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 3:35:02 p. m. EET","Sí","Mujer","18-24","Huesca","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer","Sí","Uso personal","4","4","4","4","4","4","4","4","3","3","4","3","4","1","4","4","4","4","4","3","4","3","2","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:35:17 p. m. EET","Sí","Mujer","18-24","Cáceres","Máster ","Medio","Con pareja","Compañeros/as de piso","Ninguna","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","4","4","2","1","1","3","3","3","4","4","3","2","De 21 a 25€","Menos de 15€"
"2021/03/14 3:36:10 p. m. EET","Sí","Mujer","25-30","Cantabria","Posgrado","Medio","Soltero/a","Familia","Satisyer;Womanizer;Lover yoyo;Lelo;We-vibe","Sí","Ambas opciones","4","4","4","4","4","4","4","3","3","1","1","3","4","1","1","2","3","3","2","4","3","2","2","4","3","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:36:10 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","4","2","1","1","4","4","4","4","3","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 3:36:48 p. m. EET","Sí","Mujer","18-24","Santa Cruz de Tenerife","Grado universitario","Alto / Medio-alto","Con pareja","Residencia","Satisyer;Lelo","Sí","Uso personal","4","3","3","3","3","4","3","3","4","2","2","3","2","1","3","2","4","4","4","3","1","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:37:32 p. m. EET","Sí","Mujer","18-24","Jaén","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","4","4","4","1","1","4","4","1","1","4","4","4","4","4","4","4","1","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:39:00 p. m. EET","Sí","Mujer","18-24","Granada","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","1","1","4","3","4","4","2","1","2","De 26 a 30€","Menos de 15€"
"2021/03/14 3:40:02 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer;Lover yoyo","Sí","Uso personal","4","3","4","4","4","4","4","4","4","3","4","4","4","1","4","4","4","4","4","4","4","4","2","4","4","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:40:46 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lover yoyo;Platanomelon","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","3","3","2","1","1","1","4","1","3","1","3","1","1","De 16 a 20€","Menos de 15€"
"2021/03/14 3:45:55 p. m. EET","Sí","Mujer","31-38","Navarra","Posgrado","Alto / Medio-alto","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","4","2","2","1","4","4","4","4","3","3","2","De 26 a 30€","Menos de 15€"
"2021/03/14 3:46:10 p. m. EET","Sí","Mujer","25-30","La Rioja","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","3","4","4","4","4","4","1","1","4","3","1","1","3","4","4","4","4","4","4","2","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:46:54 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Platanomelon","Sí","Regalo","4","4","4","4","3","4","2","1","4","1","1","3","4","1","2","4","4","4","4","4","4","4","4","3","4","Más de 41€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:50:32 p. m. EET","Sí","Mujer","18-24","Salamanca","Bachillerato","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","1","2","4","1","3","3","4","4","4","4","4","4","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:51:05 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lover yoyo","Sí","Ambas opciones","4","4","4","3","4","2","2","4","4","3","2","4","3","1","3","4","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:51:12 p. m. EET","Sí","Mujer","18-24","La Coruña","Grado universitario","Alto / Medio-alto","Soltero/a","Residencia","Satisyer;Lover yoyo;Lelo;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","3","2","1","4","2","4","3","4","1","1","De 21 a 25€","De 16 a 20€"
"2021/03/14 3:51:29 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lover yoyo","Sí","Ambas opciones","4","4","2","4","4","4","4","4","3","1","4","4","4","1","3","3","4","2","4","4","4","3","1","4","1","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:51:42 p. m. EET","Sí","Mujer","18-24","Navarra","Posgrado","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","3","4","3","3","3","4","1","1","4","4","4","4","4","4","3","4","4","3","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:51:58 p. m. EET","Sí","Mujer","18-24","Badajoz","Bachillerato","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","2","2","2","1","1","4","4","1","3","3","4","3","4","4","1","3","1","3","3","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:52:21 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","3","1","1","1","4","3","4","4","4","2","4","De 31 a 35€","Menos de 15€"
"2021/03/14 3:53:35 p. m. EET","Sí","Mujer","25-30","Zaragoza","Posgrado","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Ambas opciones","4","4","4","3","4","4","4","4","2","1","1","3","4","1","1","4","4","3","4","4","1","2","3","4","2","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:54:42 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","3","2","2","1","4","3","3","3","4","3","2","De 31 a 35€","Menos de 15€"
"2021/03/14 3:56:27 p. m. EET","Sí","Mujer","31-38","Madrid","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","3","3","3","3","4","2","2","1","4","4","3","4","3","1","1","De 31 a 35€","De 31 a 35€"
"2021/03/14 3:56:29 p. m. EET","Sí","Mujer","18-24","Santa Cruz de Tenerife","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","3","4","4","4","4","4","3","4","3","3","4","1","1","3","4","4","4","4","2","4","2","3","3","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:57:30 p. m. EET","Sí","Mujer","18-24","Pontevedra","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer","Sí","Ambas opciones","4","3","4","4","3","4","1","4","4","2","1","4","3","1","3","2","4","4","3","4","4","4","1","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:57:36 p. m. EET","Sí","Mujer","18-24","Cantabria","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","3","4","4","4","3","3","3","4","4","3","3","2","4","1","3","3","4","4","3","4","4","3","3","3","3","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:59:18 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","3","4","3","4","3","3","3","2","1","2","3","1","3","3","3","3","3","4","4","3","3","3","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 3:59:42 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","4","3","4","3","4","4","2","3","1","1","3","3","1","3","2","4","4","3","4","3","3","3","4","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:00:22 p. m. EET","Sí","Mujer","18-24","Sevilla","Grado superior","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","3","4","4","4","4","4","4","4","2","2","3","4","1","2","4","4","4","4","4","1","4","1","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:00:52 p. m. EET","Sí","Mujer","18-24","Navarra","Máster universitario ","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","3","3","3","3","3","4","3","2","2","2","2","2","2","1","2","2","4","3","2","4","4","2","2","4","3","Menos de 20€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:03:12 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","2","3","3","4","3","2","2","1","3","3","2","3","4","3","2","De 21 a 25€","Menos de 15€"
"2021/03/14 4:03:35 p. m. EET","Sí","Mujer","25-30","Barcelona","Posgrado","Medio","Con pareja","Familia","Lelo","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","2","3","4","2","2","2","3","3","3","3","3","3","4","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:03:35 p. m. EET","Sí","Mujer","25-30","Barcelona","Master","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","3","4","3","4","4","4","3","4","1","1","4","4","1","2","4","4","4","4","4","2","3","3","4","4","Entre 36 y 40€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:04:16 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","4","4","4","4","2","4","1","1","1","4","1","3","4","4","4","4","4","4","4","4","4","4","Entre 26 y 35€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:06:03 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","1","4","4","4","3","3","4","2","3","4","1","3","4","2","1","De 26 a 30€","Menos de 15€"
"2021/03/14 4:06:30 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer;Lelo;We-vibe","Sí","Ambas opciones","4","4","4","2","4","4","1","3","4","3","2","3","2","1","2","3","4","4","4","4","2","4","2","3","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:06:33 p. m. EET","Sí","Mujer","25-30","Barcelona","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","2","4","2","1","2","3","4","3","3","1","2","1","Más de 36€","De 26 a 30€"
"2021/03/14 4:06:36 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","3","2","2","1","3","2","4","3","4","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 4:07:21 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Womanizer;Lelo;We-vibe;Mambo ","Sí","Uso personal","4","4","4","3","4","4","1","3","4","2","1","3","4","1","1","4","4","4","4","4","4","4","4","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 4:07:55 p. m. EET","Sí","Mujer","25-30","Barcelona","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","Uso personal","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","4","4","4","4","2","1","1","3","4","4","4","4","2","1","Más de 36€","De 21 a 25€"
"2021/03/14 4:08:58 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Alto / Medio-alto","Con pareja","Familia","Satisyer;Lover yoyo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","2","De 16 a 20€","Menos de 15€"
"2021/03/14 4:09:25 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","4","4","1","1","1","3","4","4","4","4","2","1","De 26 a 30€","Menos de 15€"
"2021/03/14 4:09:46 p. m. EET","Sí","Mujer","31-38","Madrid","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","3","3","3","3","4","2","2","1","4","4","3","4","3","1","1","De 31 a 35€","De 31 a 35€"
